"study","IDX","suno","age","gender","education","scircle","vote2012","vote2008","libcons","party","knowledge","SupFirst","Owarm","Ocomp","Swarm","Scomp","ID","Incentive","supportOC","prefOC","matchown","targetS","IDN","EST","exp","length"
1,230,6,21,1,3,58,2,2,4,3,3,0,4.2,4.4,4.2,4.8,0,0,0,4,0,1,0,0,"I support the free healthcare for the American citizens. This is very important to me and the country.",102
1,351,7,22,1,4,34,4,4,3,1,2,0,4.2,5.2,5,4.6,0,0,0,2,0,0,0,0,"I believe ObamaCare has cut my hours at work. Since ObamaCare is supposed to be mandatory for workers that work a certain amount of hours, my employer has found a loophole by cutting a lot of our hours to avoid having to provide us benefits. I think healthcare should be optional and affordable, and although I see the good ObamaCare can bring, I believe it was rushed and not very well thought out, thus it can not truly be effective for the entire population.",461
1,238,7,22,1,4,34,4,4,3,1,2,0,4.2,5.2,5,4.6,0,0,0,2,0,1,0,0,"I support ObamaCare because it finally gives me and my family a chance to get insured and supported medically. I think that it is good for our nation, and that everyone should have access to healthcare. It is a basic human right.",229
1,352,8,50,1,4,60,3,2,4,5,2,0,1.6,4,6.4,4.8,0,0,0,4,0,0,0,0,"I believe ObamaCare is one more step toward socialism in this country. healthcare is not a right, it is a privilege. If you can't pay for it, then you shouldn't get it. Furthermore, I cannot stand the government intrusion in our lives. The individual mandate is just that: the government forcing us to do something.",316
1,239,8,50,1,4,60,3,2,4,5,2,0,1.6,4,6.4,4.8,0,0,0,4,0,1,0,0,"I believe that everyone should have access to affordable healthcare. This includes the poor. Because of the high cost of healthcare in this country, many cannot afford it. I believe the government is correct to step in and make healthcare affordable for all. Additionally, some of the facets of ObamaCare are long overdue, such as no refusal of insurance for pre-existing conditions and allowing young people to remain on their parents' policies until they reach 26 years.",475
1,338,9,22,1,3,39,4,4,3,3,2,0,1.8,2.8,6,5.2,0,0,1,5,0,0,0,0,"I believe ObamaCare is taking away money from more important things, such as the military, so that we can have actually have a life to live! ObamaCare takes away some of the freedoms of our people, like he's been doing constantly in recent times, and makes the whole process a mess, just like with the healthcare website.",321
1,225,9,22,1,3,39,4,4,3,3,2,0,1.8,2.8,6,5.2,0,0,1,5,0,1,0,0,"I believe ObamaCare is a step in the right direction for universal healthcare. It's not the best, but it's definitely a start towards a better future for the United States of America. Unfortunately, conservatives believe President Obama and any of his actions are spawns of Satan and focus on contradicting anything he does or says.",332
1,387,10,33,2,2,2,3,3,5,6,4,0,5.8,6,5,3.8,0,0,0,1,0,0,0,0,"I believe ObamaCare is unconstitutional in that it is illegal for the government to make an individual purchase anything from a 3rd party.",138
1,274,10,33,2,2,2,3,3,5,6,4,0,5.8,6,5,3.8,0,0,0,1,0,1,0,0,"I support ObamaCare because I think healthcare should be free, and I think that's what ObamaCare is going to accomplish.",120
1,353,11,24,2,4,81,2,2,1,1,4,0,1,3.4,6.4,5.8,0,0,1,6,0,0,0,0,"I believe ObamaCare will be the downfall of our proud American government. Our ancestors were came here for freedom and ObamaCare is the pinnacle of our individual freedom being taken away. I think ObamaCare will destroy our economy and give healthcare to undeserving people. It won't help anyone at all. If people can't afford healthcare and their health is in dire need of medical attention, who cares? ",407
1,240,11,24,2,4,81,2,2,1,1,4,0,1,3.4,6.4,5.8,0,0,1,6,0,1,0,0,"I support ObamaCare because it is a step closer to granting a fundamental right to citizens whose pay cannot support medical bills or dental care. It is a step closer to becoming part of the modern world that looks for the interest of human beings instead of treating them as cash cows. It will help many people be able to afford healthcare and not get turned away for having a preexisting health condition.",408
1,388,12,28,1,4,60,4,4,4,6,4,0,3.4,4.6,3.6,3.8,0,0,0,1,0,0,0,0,"I believe that healthcare should be a personal decision.  I don't want the government telling me what I have to choose, nor do I want to pay taxes to subsidize other's choices and medical care.  My money is my own and I should be free to spend it as I see fit.  If I want to help someone with their medical bills, then that is up to me and if we want to give charity then we will.  It's not up to the government to decide for us what we should and should not want or do.",471
1,275,12,28,1,4,60,4,4,4,6,4,0,3.4,4.6,3.6,3.8,0,0,0,1,0,1,0,0,"I believe that healthcare is a right that everyone should have.  It is important for us to help the less fortunate and to provide medical care to everyone in the country.  We cannot allow people to be sick and not receive treatment, that would be cruel.  We must do what we can to help others and this is by far the best way to do that.  Everyone should contribute their share to help the sick.",395
1,409,13,27,1,5,27,1,2,4,3,4,0,4.2,5.4,5,4.6,0,0,0,2,0,0,0,0,"I believe that if you oppose the ACA you are in favor of a society that you get what you can pay for. By that I mean if you can afford insurance or work a full time job that give insurance you are in a good position. People who can not afford insurance need to get off their butts and stop being lazy while milking the system. ",327
1,296,13,27,1,5,27,1,2,4,3,4,0,4.2,5.4,5,4.6,0,0,0,2,0,1,0,0,"I support the ACA because it gives people a chance to have health insurance in which they would not be able to get it. This will hopefully help increase the overall health of the US and preventative care here as well. This will help millions of people and help keep people in care longer.",288
1,389,14,30,1,4,13,3,2,7,5,4,0,5.2,6.2,2.6,3.8,0,0,0,1,0,0,0,0,"I believe that it is criminal to force someone to purchase something that they do not want. Why isn't there an 'Affordable Transportation Act' that forces everyone to buy a Lamborghini? Maybe because some people don't want to buy one, even though other people really insist that Lamborghinis are great. It sure would be great for Lamborghini makers if everyone were forced to buy one though, wouldn't it?",404
1,276,14,30,1,4,13,3,2,7,5,4,0,5.2,6.2,2.6,3.8,0,0,0,1,0,1,0,0,"I think ObamaCare is great because rich people have a bunch of extra money just lying around. That money can be taxed and used to benefit poor people who can't afford things like healthcare.",191
1,344,15,27,1,3,80,3,3,3,1,3,0,1.8,5.2,6,5.4,0,0,1,6,0,0,0,0,"I believe that leaving healthcare in the hands of the government will take away from the profitability and quality of the medicine industry.  I also believe that forcing people to enroll in healthcare programs will burden some individuals.",241
1,231,15,27,1,3,80,3,3,3,1,3,0,1.8,5.2,6,5.4,0,0,1,6,0,1,0,0,"healthcare is something that every citizen should be entitled to.  I believe that opening up affordable options for healthcare is a good step in the right direction of ensuring the safety and well-being of every individual.",225
1,390,16,41,1,4,60,2,2,2,3,3,0,3.2,4.2,5.6,5,0,0,1,6,0,0,0,0,"I believe that ObamaCare is a huge mistake.  I think ObamaCare is government sticking its nose into business where it isn't wanted and costing taxpayers way too much money.  I am certain ObamaCare is just another attempt by the government to control our lives.  I believe ObamaCare is another step on the road to socialism and must be stopped.  I want ObamaCare repealed so healthcare can be handled as it should, by business, so that the lowest costs and best services are available to those who work for it.  I think ObamaCare is basically designed to help lazy people be even more lazy and it is taking my hard earned tax dollars away to do it and giving it to them for free.",679
1,277,16,41,1,4,60,2,2,2,3,3,0,3.2,4.2,5.6,5,0,0,1,6,0,1,0,0,"I support ObamaCare because the current healthcare system is highly flawed, with people being charged unfairly due to monopolies and hidden practices that are against a true capitalist system.  I think ObamaCare will level the playing field for everyone and eventually bring about a badly needed universal healthcare system that will benefit ALL Americans.  I believe ObamaCare will reduce healthcare costs across the board by a great degree and break up the monopoly on health pricing and discriminatory practices that insurance companies and to some extent medical professionals engage in.",594
1,345,17,25,2,4,69,2,2,4,3,4,0,2.2,5,5.2,4.4,0,0,1,6,0,0,0,0,"I believe that ObamaCare is a waste of time and will greatly lower the level of care people will receive in our hospitals. Capping how much doctors will make will turn brilliant people away from being medicine and that will result in a second-rate health-care services that will harm more than help ",299
1,232,17,25,2,4,69,2,2,4,3,4,0,2.2,5,5.2,4.4,0,0,1,6,0,1,0,0,"It is embarrassing that a country like the United States does not provide health-care for its citizens. We are developed and advanced, nobody in the united states should die because they couldn't afford to be treated. Also by providing free preventative care we stop problems before they develop leading to a healthier county all together I believe.",347
1,346,18,25,1,4,67,2,2,2,3,4,0,3.2,4.6,6.8,5.6,0,0,1,7,0,0,0,0,"I believe that ObamaCare is going to cost the government even more money.  It's going to make it even more expensive for people like me to get insurance because what I was paying before wasn't a lot.  However to now give people in a lower class then me health insurance at a price they can afford I have to pay more to make up for the difference.  We are a capitalist country, not a socialist one.",397
1,233,18,25,1,4,67,2,2,2,3,4,0,3.2,4.6,6.8,5.6,0,0,1,7,0,1,0,0,"I believe that ObamaCare is a great thing that will help all Americans.  It will allow for people like myself to get affordable healthcare without paying a lot out of pocket.  It will allow people who have a disease still be able to get healthcare even though they have it.  The healthcare system needed a reform and this is it!",328
1,410,19,32,1,4,80,2,2,3,3,4,0,2.2,3,5.8,6,0,0,1,7,0,0,0,0,"I believe that ObamaCare is not legitimate because it takes away any option when it comes to healthcare. They said I would be able to keep my old healthcare plan if I wanted, and now we come to find out that we can't keep our old healthcare plans after all. I listen to the republican leaders and they all seem to think ObamaCare is a bad thing and I believe they wouldn't lie to me.",381
1,297,19,32,1,4,80,2,2,3,3,4,0,2.2,3,5.8,6,0,0,1,7,0,1,0,0,"ObamaCare is great for the country. It ensures that everyone is going to be on healthcare and that lowers the costs to everyone who had to pay for someone who came to an emergency room with no healthcare in the past. The health plans with ObamaCare are very good, the vast majority of Americans are going to benefit greatly from ObamaCare being in office. ",356
1,402,20,24,1,4,64,2,2,3,3,3,0,3.4,2.8,5.2,5.2,0,0,1,5,0,0,0,0,"I believe that ObamaCare is not needed in our country and our president and representatives are shoving this bill down our throat. If universal healthcare was needed, it would have already been implemented. I do not believe I should be paying for someone else to have healthcare, that's just socialist.",302
1,289,20,24,1,4,64,2,2,3,3,3,0,3.4,2.8,5.2,5.2,0,0,1,5,0,1,0,0,"I believe ObamaCare is needed in this country. The public should not stand idly by and watch their fellow man fall sick/ill and die because they do not have enough money to see a proper doctor. ",194
1,376,21,23,1,3,60,2,4,2,1,3,0,2.8,3.2,4.8,4.2,0,0,1,6,0,0,0,0,"I believe that ObamaCare is wrong because I think that if my tax dollars are paying for someone else's healthcare then I should be able to make choices and decisions about how people treat their bodies. Obese people overeating or people using drugs shouldn't be allowed to abuse the system.",289
1,263,21,23,1,3,60,2,4,2,1,3,0,2.8,3.2,4.8,4.2,0,0,1,6,0,1,0,0,"I believe in the Affordable Care Act because all other first world nations have adopted a universal healthcare system that works and takes care of people, so I believe we can do the same here in America.",203
1,347,22,20,2,3,54,1,4,4,2,3,0,3.8,5.4,5,3.2,0,0,0,4,0,0,0,0,"I believe that the government shouldn't be as involved in its citizen's private lives, especially their pocketbook. The bill is an expansive overhaul that will be expensive and impossible to control effectively. It will cause millions to be kicked off of their medical insurance they have now and will not cause current prices to go down. This does nothing to solve the problem of healthcare in this country and will simply make it more expensive.",448
1,234,22,20,2,3,54,1,4,4,2,3,0,3.8,5.4,5,3.2,0,0,0,4,0,1,0,0,"This bill will bring healthcare to millions of Americans that would otherwise not be able to afford it. It will open up programs for the less fortunate and will allow children to stay on their parent's medical insurance until they are 26 and out of college. ",259
1,354,23,54,2,4,66,1,1,4,6,3,0,4.6,4.4,4,5.2,0,0,0,4,0,0,0,0,"I believe that the ObamaCare will cost everyone too much money. I it will only cause peoples taxes to go up and it will also restrict the places for peoples healthcare. It may cause you not to be able to go to the doctors you want to. ",236
1,241,23,54,2,4,66,1,1,4,6,3,0,4.6,4.4,4,5.2,0,0,0,4,0,1,0,0,"I think it is a good thing, because many poor or unemployed people do not have health insurance and the ObamaCare will give every affordable healthcare insurance. ",165
1,430,24,71,2,6,2,1,1,6,2,4,0,5,6,3.8,1.8,0,0,0,1,0,0,0,0,"I believe that the quality of and accessibility to healthcare will be severely damaged with ObamaCare.  I believe that many doctors will leave the healthcare profession and access to doctors of choice will no longer be available.  I also believe that ObamaCare will have an adverse effect on the economy as more and more businesses lay off workers or switch to part time to cut down on expenses of healthcare. ",413
1,317,24,71,2,6,2,1,1,6,2,4,0,5,6,3.8,1.8,0,0,0,1,0,1,0,0,"I think that ObamaCare will provide free medical care to all those who haven't been able to afford healthcare insurance until now.  Also, people can stay on their parent's insurance until 26, when they can afford their own healthcare.  People with medical conditions cannot be turned down for medical insurance and the government will pay most of the cost.",358
1,420,25,28,1,6,70,2,2,2,1,3,0,2.8,4.6,5.4,4.6,0,0,1,6,0,0,0,0,"I believe that, as Americans, we should always have the right to decide. I feel that ObamaCare takes away the ability to decide from every American and forces us into a situation that we don't want to be in. The system that is set up is not even fully functioning nor is it even known if it will work. There are too many unknowns for us to jump into a system that was just developed by a president that doesn't even know what he is doing. I think that people should have access to healthcare but this system of ObamaCare would just dilute the quality of care due to the overwhelming numbers that would be seeking care. The wait list for any doctor will likely cause most people to abandon their doctor's of choice due to not being able to be seen as promptly as one wants. ",773
1,307,25,28,1,6,70,2,2,2,1,3,0,2.8,4.6,5.4,4.6,0,0,1,6,0,1,0,0,"I believe that everyone should have a right to healthcare, no matter what their economic situation. ObamaCare will expand services to those that are in dire need of attention. The expansion of healthcare also ensures that people with preexisting conditions are able to find affordable insurance. ObamaCare puts citizens first instead of the insurance companies and the only way we are able to do that is if everyone is in the system so that there is built up equity for when people eventually need to use it. ",509
1,421,26,24,2,3,40,2,2,3,1,5,0,4.6,5.2,6,4.2,0,0,0,2,0,0,0,0,"I believe the ACA is a terrible idea. Thousands of Americans are losing their insurance that they wanted to keep because of it. Thousands of healthy 20-something year olds are unable to afford the decent insurance. To get DECENT insurance it's 300 or more a month and that includes the tax credit. It's impossible for recent college graduates to afford.",353
1,308,26,24,2,3,40,2,2,3,1,5,0,4.6,5.2,6,4.2,0,0,0,2,0,1,0,0,"I believe that ACA is great for Americans suffering from diseases like cancer, or diabetes. They are able to get coverage when other private insurance companies would not insure them before.",190
1,391,27,25,1,4,78,2,2,1,1,3,0,5.2,4.4,6.4,5.8,0,0,0,4,0,0,0,0,"I believe the Affordable Care Act would be detrimental to the American people. Because of the cost to businesses. ",114
1,278,27,25,1,4,78,2,2,1,1,3,0,5.2,4.4,6.4,5.8,0,0,0,4,0,1,0,0,"I believe the affordable care act is beneficial to those who cannot afford health insurance. Because it would allow them to be able to have healthcare and pay for it.",167
1,431,28,35,1,4,40,2,2,4,6,3,0,4.2,4.4,4.6,5.4,0,0,0,3,0,0,0,0,"I believe the health plans will not be less expensive than they are now.  Also, the level and quality of service will go down for most hard working people.  I think it will benefit the poor the most by taxing the working class. It also does not offer competition among insurance groups to benefit the consumer.",310
1,318,28,35,1,4,40,2,2,4,6,3,0,4.2,4.4,4.6,5.4,0,0,0,3,0,1,0,0,"I support the act because it will provide affordable health insurance for all Americans. It will put greedy health insurers out of business and we will no longer worry about what procedures are covered.  It will lead to a healthier nation.",239
1,432,29,33,1,4,20,2,2,4,3,3,0,3.6,5.6,4,4,0,0,0,2,0,0,0,0,"I believe the ObamaCare legislation is a horrible idea because it has gaping holes in how it is implemented.  At the base I get the idea and the goal which is to provide affordable healthcare to everyone, however, like most legislation it leaves huge gaps that actually harm a big piece of the citizens it is supposed to help.  The issue comes in how you qualify for the discounts for the healthcare.  Qualifying is based on your poverty level, and if you are currently provided healthcare through work.  That second statement disqualifies a huge number of people.  For instance, say there is a family with only a single income.  The working person is provided healthcare through their job, however, it is very expensive for them to add their children and spouse to their insurance.  Previously they went out and purchased their own insurance which was much cheaper.  Now with ObamaCare that insurance is going away and they must purchase the healthcare through the new legislation.  They fall under the poverty level stipulation, however, since one of them is provided healthcare through their job and they do not pay more than 20% of their income for this healthcare the rest of the family is disqualified from receiving the discounts.  So they must still purchase the healthcare through the ObamaCare system but at the much higher price which is way higher than what they currently pay anyways.  In effect this legislation just harmed a big portion of the lower middle class who have one working member of the family.  This bill helps the very poor and does not really affect the rich and those who have two working family members where healthcare is provided.  I believe it harms the struggling single income families who desperately need good cheap healthcare.",1765
1,319,29,33,1,4,20,2,2,4,3,3,0,3.6,5.6,4,4,0,0,0,2,0,1,0,0,"I think ObamaCare is a great thing.  It helps out those unfortunate enough to be able to afford their own healthcare.  It also breaks up the ""monopoly"" that the healthcare industry was creating.  Insurance agency's for years have been gouging people with high rates, denials of payments, and general lack of caring for the people.  This legislation wipes that out and allows everyone access to the same healthcare, and in doing so allows people who are very poor to access this same great healthcare that we who have been more fortunate have been able to enjoy. ",562
1,433,30,54,1,4,60,2,1,4,4,1,0,1.6,3.8,5.2,4,0,0,1,5,0,0,0,0,"I do not support ObamaCare primarily because I do not believe the government should mandate all people should purchase health insurance.   Also, I do not believe it will work and that everyone's healthcare will get more expensive as a result.  ",245
1,320,30,54,1,4,60,2,1,4,4,1,0,1.6,3.8,5.2,4,0,0,1,5,0,1,0,0,"I support ObamaCare for several reasons, the most important is that all Americans should have the right to purchase health insurance.  I do not believe it should be inexpensive for high risk people, similar to auto insurance, but do believe people should have that right.  I also believe a person should not be reject because of pre-existing conditions.  Also, having a child on a parents plan is very good, but the parents should have to pay higher premiums.",460
1,403,31,64,1,6,95,2,2,1,6,4,0,1.6,3.2,5.6,5.2,0,0,1,7,0,0,0,0,"I do not want the government involved in healthcare. I think they will end up deciding who to let live longer or whether to pull the plug. And I think this is the first step to socialism. People should be able to look after themselves. Why should my tax money go to other people's healthcare? I think this is a question of personal responsibility. And I do not think that government does things well: we need private companies competing.",438
1,290,31,64,1,6,95,2,2,1,6,4,0,1.6,3.2,5.6,5.2,0,0,1,7,0,1,0,0,"I think we must start to fix this country's broken healthcare system and ObamaCare is a start. There are too many people without healthcare and health insurance in this country. I think it's a national disgrace. I think that the current system of getting insurance from your employer makes no sense because it leaves too many people uninsured. And we are wasting money because these people often end up in the emergency room and it's incredibly expensive. I think in a country like ours we need to take care of each other.",522
1,411,32,20,1,3,70,2,4,2,1,4,0,2.8,5,5.6,5.4,0,0,1,6,0,0,0,0,"I feel it will raise the cost of everyone else's insurance and have the government in control of our health. It will corrupt the medical system and bring the nation down.",170
1,298,32,20,1,3,70,2,4,2,1,4,0,2.8,5,5.6,5.4,0,0,1,6,0,1,0,0,"It makes insurance affordable for Americans. Those who couldn't afford insurance before can now afford it and have a safety net in case they need medical attention. Most everyone who already has insurance aren't affected at all.",228
1,412,33,30,1,4,80,2,2,4,3,5,0,1,4.6,7,6.4,0,0,1,7,0,0,0,0,"I oppose ObamaCare because it forces everyone to pay for health insurance of suffer a tax penalty.  Young people are healthier and would not really need health insurance.  Sick people are forced to get coverage from their company and would raise the premium of up for everyone.  I believe the Act focuses to much on insuring everyone rather than the cost of care.",363
1,299,33,30,1,4,80,2,2,4,3,5,0,1,4.6,7,6.4,0,0,1,7,0,1,0,0,"I support ObamaCare because it gives tax credits for small businesses.  Young parents can stay on the parent's plan until they are 26.  Uninsured adults can qualify for free or low cost insurance.  Medicaid covers even more people now.  I believe that ObamaCare will lead to universal healthcare someday.",304
1,363,34,35,2,4,15,4,4,5,4,2,0,5.8,5.8,5.2,4.4,0,0,0,1,0,0,0,0,"I oppose ObamaCare because it has already raised my health insurance rates while my coverage has decreased.  I have heard that other companies are laying people off to offset the ""costs"" of ObamaCare.  All it does is make sure more people are covered but I feel at a much higher cost for everyone involved.",306
1,250,34,35,2,4,15,4,4,5,4,2,0,5.8,5.8,5.2,4.4,0,0,0,1,0,1,0,0,"I support ObamaCare because it gives health insurance coverage to everyone. I also like the fact that you can't be dropped from your insurance provider if you get sick. health insurance now will have to have preventative services offered in all their plans as well which is a good thing.",287
1,377,35,26,1,4,59,2,2,2,3,3,0,2.8,4,5.6,5.6,0,0,1,5,0,0,0,0,"I oppose ObamaCare because it is socialism. We are giving healthcare to people who do not want to work. I do not want to have to pay for their health insurance. I also want to be able to choose my own health plan and not have one chosen for me.",245
1,264,35,26,1,4,59,2,2,2,3,3,0,2.8,4,5.6,5.6,0,0,1,5,0,1,0,0,"healthcare is an inalienable right for all people. People should be able to afford treatment regardless of their wealth. We should take care of our most vulnerable citizens.",174
1,404,36,27,1,4,14,4,4,5,6,3,0,5.6,5.4,5.4,4.6,0,0,0,2,0,0,0,0,"I oppose ObamaCare because it limits the freedom that we have to choose for ourselves. Our autonomy as individuals is challenged by the fact that we are forced into spending money on insurance. Government subsidized healthcare is only going to cause our country to have lower healthcare standards and lower quality doctors. There are many problems with healthcare in this country, but ObamaCare has done nothing to improve the way in which Americans will approach their insurance needs. ",490
1,291,36,27,1,4,14,4,4,5,6,3,0,5.6,5.4,5.4,4.6,0,0,0,2,0,1,0,0,"I believe that the Affordable Care Act is in the best interest of the American people because it levels the playing field for Americans to choose the best insurance option for themselves and their families. This will help those that can't afford health insurance. ",264
1,405,37,26,1,3,40,4,4,3,3,3,0,5.4,5.2,5.8,5.4,0,0,0,4,0,0,0,0,"I oppose ObamaCare because of the high premiums and because I am losing my current insurance for this new insurance. I have been with the same insurance for the longest and now I have to change carriers. I do not like it at all.",228
1,292,37,26,1,3,40,4,4,3,3,3,0,5.4,5.2,5.8,5.4,0,0,0,4,0,1,0,0,"I support ObamaCare because it gives everybody the ability to receive some form of insurance to help with any issues they may have. The prices are not that bad and are affordable.",180
1,364,38,32,2,3,30,2,2,2,3,3,0,4,4.6,6.4,4.4,0,0,1,5,0,0,0,0,"I oppose ObamaCare because the middle class will end up paying for it.  Where does all of this money come from?  It is a program that needs more improvement before it passes.  I also think it is wrong to force the citizens of America to purchase a product or else receive a penalty.  I think healthcare prices will go up and the wait to see a doctor will also go up.  No more are the days where we walk in and wait 20 minutes to see the doctor.  We will now be waiting weeks, months even.  When someone has a fatal disease, they need to get in as quickly as possible. That won't happen with ObamaCare.",602
1,251,38,32,2,3,30,2,2,2,3,3,0,4,4.6,6.4,4.4,0,0,1,5,0,1,0,0,"I live in a rural area where jobs are far and few between.  I do the odd jobs around my area but it's no where near enough to be able to afford healthcare.  My state is one of those expanding Medicaid and I found out that I get healthcare, dental care and vision care, absolutely free.  I support it because I'm getting to the age where it is important that I go to the doctor and get yearly check ups.  ",406
1,330,39,49,2,4,30,1,1,5,2,3,0,5.2,6.4,6,5.8,0,0,0,2,0,0,0,0,"I oppose ObamaCare for a few reasons. First of all, the government has too much control over our lives already. There are regulations for everything, and bureaucracy slows things down. Business is slowed while companies wait on permits and approvals. I do not want this in my healthcare. I do not want to wait for some government employee to tell me what doctor to go to, and whether or not I can have an antibiotic. /  / Secondly, I resent the forced nature of this. You get fined if you don't have insurance. This is a tax - no more, no less. Either you spend money on the insurance, or you spend money on the fine. It should be up to me whether or not I need, or want to risk going without health insurance. I am healthy. I already have insurance that pays my bills if I have an accident. I am willing to pay for my routine care. I don't think that going uninsured should be a crime. It is a calculated decision, and the right to make that decision is being taken away by ObamaCare. /  / Lastly, I fear that this will turn disastrous down the road. How long will it be before the plan is low on money, and a government employee gets to decide who gets care and who doesn't? It could become a situation where life expectancy is actually lowered, because older people will be denied care for financial reasons. Also, I think that some unfortunate people will be denied care because of ""quality of life"" issues, which will be determined by a bureaucrat. /  / All in all, this plan is too controlling, and will do more harm than good.",1534
1,217,39,49,2,4,30,1,1,5,2,3,0,5.2,6.4,6,5.8,0,0,0,2,0,1,0,0,"I think that ObamaCare will save a lot of lives. There are so many people who can't afford health insurance that will be helped by this. Many people go without proper medical care, and there lives are shorter because of it. ObamaCare will solve that problem. /  / ObamaCare will be a huge help to people who have pre-existing conditions and cannot get health insurance. Many of these people are trapped in jobs and marriages they no longer want in order to keep their insurance from being cancelled. ObamaCare will offer them the freedom to leave their current insurance and the restrictions that come along with it. /  / Finally, ObamaCare will encourage self-employment and the creation of small businesses. No longer burdened with the huge cost of private insurance. People will be able to free themselves from large corporations and pursue their own dreams.",861
1,434,40,22,1,4,19,2,4,3,1,1,0,4.4,5.6,6.2,5.6,0,0,1,5,0,0,0,0,"I propose ObamaCare because it promotes socialism in America. This is not a country where everyone is equal no matter what. Here you have to work for what you get and if you do not work hard you will not achieve much. People need to understand that they will not get what they want if they don't try.",300
1,321,40,22,1,4,19,2,4,3,1,1,0,4.4,5.6,6.2,5.6,0,0,1,5,0,1,0,0,"Everyone in the country needs healthcare. I think ObamaCare will help with that because it will get everyone the medical care they need for not that much cost. It is sad that people are dying or living with diseases because they can't afford it.",245
1,422,41,31,2,2,0,1,1,3,1,2,0,6.4,6.6,6.2,5,0,0,0,1,0,0,0,0,"I see it taking away our freedom to choose. People like I can't afford health ins. I think it is wrong to make someone do such  thing without seeing the whole picture",166
1,309,41,31,2,2,0,1,1,3,1,2,0,6.4,6.6,6.2,5,0,0,0,1,0,1,0,0,"I support this healthcare cause it would stop healthcare from going up cause of people who have no insurance and can't pay",117
1,339,42,43,1,4,12,3,3,5,6,3,0,4.8,4.2,4,2.6,0,0,0,1,0,0,0,0,"I think it is a bad idea to have the health insurance companies write the legislation for ObamaCare that results in empowering the insurance companies and harming the citizens.  I think it is bad that I might be forced to lose my existing health insurance policy and to instead be forced to pay more money to have a different policy.  I think it is wrong to require citizens to buy a product from a private company.  I think it is wrong to create a medical insurance policy that creates death panels and artificial scarcities.",526
